Close,Label
0.097916,1
0.086457,1
0.085416,1
0.08177,1
0.071353,-1
0.069791,-1
0.074999,-1
0.079166,-1
0.076562,-1
0.075262,-1
0.074999,-1
0.07552,-1
0.073958,1
0.070833,-1
0.077083,-1
0.082812,1
0.084374,1
0.079166,1
0.077083,1
0.080208,1
0.079166,1
0.078645,1
0.07526,-1
0.07552,-1
0.07552,-1
0.076301,-1
0.074999,-1
0.07552,-1
0.07552,-1
0.07552,-1
0.074478,-1
0.077083,-1
0.07578,-1
0.079426,1
0.095572,1
0.099999,1
0.115103,1
0.116145,1
0.128124,1
0.114582,1
0.10677,1
0.121874,1
0.116666,1
0.110936,1
0.107811,-1
0.109113,-1
0.10677,-1
0.114582,-1
0.11302,1
0.111457,1
0.116145,1
0.123957,1
0.122395,1
0.11979,1
0.120832,1
0.115624,1
0.110416,-1
0.112499,-1
0.108853,-1
0.114582,-1
0.116405,-1
0.109895,-1
0.109895,-1
0.107811,1
0.105728,-1
0.102082,-1
0.108332,-1
0.108332,1
0.105728,1
0.106249,1
0.110936,1
0.117186,1
0.115884,1
0.118749,1
0.116926,1
0.117707,1
0.116666,1
0.127603,1
0.124999,1
0.149999,1
0.161978,1
0.165103,1
0.157811,1
0.184373,1
0.154686,1
0.167707,1
0.170311,1
0.164582,1
0.197394,-1
0.224998,1
0.231248,1
0.218748,1
0.203904,1
0.208331,-1
0.202081,-1
0.216925,-1
0.20104,-1
0.200519,-1
0.200779,-1
0.206248,-1
0.202863,-1
0.200258,-1
0.187498,1
0.19505,-1
0.199998,-1
0.198956,-1
0.196092,-1
0.181248,-1
0.181248,-1
0.191144,-1
0.221352,-1
0.226039,1
0.224998,1
0.2513,1
0.21354,1
0.247393,-1
0.269529,1
0.256247,1
0.254164,1
0.253643,1
0.247914,1
0.243748,-1
0.233071,-1
0.223956,-1
0.210415,-1
0.197394,-1
0.18854,-1
0.192967,-1
0.208331,-1
0.218748,1
0.220831,1
0.225519,1
0.229164,1
0.224477,1
0.211456,1
0.210154,-1
0.213019,-1
0.206248,-1
0.21354,-1
0.211717,-1
0.218227,-1
0.224998,1
0.229685,1
0.235414,1
0.234373,1
0.225519,1
0.234373,1
0.227081,1
0.229164,1
0.222914,1
0.219529,1
0.214581,-1
0.224998,-1
0.234893,-1
0.231248,1
0.230206,1
0.226039,1
0.237498,1
0.242445,1
0.251039,1
0.247914,1
0.237498,1
0.241925,1
0.23906,1
0.230727,-1
0.213019,-1
0.215102,-1
0.232289,-1
0.243748,1
0.247654,1
0.239581,1
0.247654,1
0.253643,1
0.256768,1
0.246873,1
0.240623,1
0.237498,-1
0.238539,-1
0.247914,-1
0.245831,1
0.259893,1
0.25755,1
0.253122,1
0.246873,1
0.24531,-1
0.242706,-1
0.265102,-1
0.264581,1
0.263018,1
0.259372,1
0.257289,1
0.253643,-1
0.261456,-1
0.263539,1
0.27031,1
0.27031,1
0.274476,1
0.303122,1
0.32083,1
0.317705,1
0.298955,1
0.305987,1
0.312497,1
0.319788,1
0.347913,1
0.346286,1
0.331768,1
0.32708,1
0.327861,-1
0.329163,-1
0.332809,-1
0.355465,-1
0.349997,1
0.349997,1
0.349215,1
0.351038,1
0.340361,1
0.344788,1
0.354163,1
0.357809,-1
0.356376,-1
0.375517,1
0.39609,1
0.387496,1
0.369267,1
0.355205,-1
0.369267,-1
0.396871,-1
0.392965,1
0.404944,1
0.400517,1
0.410413,1
0.395309,1
0.392704,1
0.387757,1
0.363538,-1
0.337497,-1
0.353642,-1
