Close,Label
0.126116,1
0.132254,1
0.137835,1
0.145089,1
0.158482,1
0.160714,1
0.156808,1
0.152344,1
0.154018,-1
0.150669,-1
0.143973,-1
0.137835,-1
0.135045,-1
0.142299,-1
0.141183,1
0.136161,1
0.136719,-1
0.139509,-1
0.138393,1
0.146763,1
0.142299,1
0.145089,1
0.146763,1
0.146205,1
0.143973,1
0.142857,-1
0.138393,-1
0.13337,-1
0.126116,-1
0.118861,-1
0.123326,-1
0.12779,-1
0.12779,1
0.128348,1
0.121652,1
0.121652,-1
0.117745,-1
0.116629,-1
0.113839,-1
0.116629,-1
0.121652,1
0.114397,1
0.108259,-1
0.109933,-1
0.106027,-1
0.112723,-1
0.114397,1
0.118303,1
0.118861,1
0.117187,1
0.116071,1
0.115513,-1
0.114397,-1
0.105469,-1
0.100446,-1
0.09654,-1
0.100446,-1
0.09933,-1
0.103237,1
0.108259,1
0.114955,1
0.113839,1
0.114955,1
0.11942,1
0.118861,1
0.116629,1
0.114397,-1
0.110491,-1
0.110491,-1
0.109375,-1
0.108259,-1
0.117745,-1
0.118303,1
0.116071,1
0.114955,1
0.120536,-1
0.122768,1
0.124442,1
0.124442,1
0.124442,1
0.118303,1
0.111607,-1
0.114955,-1
0.122768,-1
0.127232,1
0.13058,1
0.129464,1
0.128348,1
0.126116,-1
0.124442,-1
0.126674,-1
0.126674,1
0.126116,1
0.125558,1
0.12221,-1
0.123884,-1
0.125,-1
0.12221,1
0.12221,-1
0.121652,-1
0.119978,-1
0.122768,-1
0.125,1
0.122768,1
0.126674,1
0.133928,1
0.140067,1
0.139509,1
0.147321,1
0.147321,1
0.147879,1
0.147879,1
0.140625,1
0.140625,-1
0.143415,-1
0.141183,1
0.136161,-1
0.138951,-1
0.140625,-1
0.146763,1
0.145089,1
0.144531,1
0.141741,1
0.139509,-1
0.138951,-1
0.135045,-1
0.130022,-1
0.132254,-1
0.128906,-1
0.131696,-1
0.130022,1
0.125558,-1
0.116071,-1
0.114955,-1
0.114955,-1
0.111049,-1
0.112165,-1
0.116629,-1
0.107701,1
0.09933,-1
0.101562,-1
0.106027,-1
0.108817,1
0.111607,1
0.115513,1
0.107701,1
0.107143,-1
0.101004,-1
0.103795,-1
0.107143,-1
0.111607,1
0.107701,1
0.106027,1
0.109933,-1
0.111607,1
0.110491,1
0.112165,1
0.115513,1
0.112723,1
0.112723,1
0.109375,-1
0.107143,-1
0.103795,-1
0.10212,-1
0.098772,-1
0.09654,-1
0.095424,-1
0.09654,-1
0.089844,-1
0.084263,-1
0.086495,-1
0.084821,-1
0.085379,-1
0.089844,1
0.089844,1
0.095424,1
0.097098,1
0.092076,1
0.09096,-1
0.08817,-1
0.08817,-1
0.088728,-1
0.087612,-1
0.084821,-1
0.082589,-1
0.080915,-1
0.078683,-1
0.079241,-1
0.079799,-1
0.075335,1
0.073661,-1
0.073103,-1
0.063616,-1
0.064174,-1
0.067522,-1
0.06808,1
0.06808,1
0.073661,1
0.075893,1
0.075335,1
0.079799,1
0.082589,1
0.083147,1
0.085937,1
0.085937,1
0.080915,1
0.082589,-1
0.081473,-1
0.083147,-1
0.087612,1
0.087612,1
0.087053,1
0.084821,1
0.084821,-1
0.086495,-1
0.089286,1
0.08817,1
0.089286,1
0.089286,1
0.08817,1
0.085937,-1
0.079799,-1
0.080357,-1
0.081473,-1
0.082031,-1
0.084263,1
0.087053,1
0.080915,1
0.079799,-1
0.081473,-1
0.084263,-1
0.084263,1
0.084821,1
0.080915,1
0.080357,-1
0.082031,-1
0.084263,-1
0.083147,1
0.083147,1
0.083705,1
0.082589,1
0.084821,-1
0.085379,1
0.083705,1
0.084263,-1
0.084263,-1
0.083705,-1
0.080915,-1
0.083147,-1
0.087053,1
