Close,Label
15.877984,-1
16.167317,-1
16.209984,1
16.999316,1
17.381316,1
17.01665,1
16.145317,1
15.384651,-1
14.591319,-1
14.668652,-1
14.989318,-1
16.199317,-1
16.565317,1
16.603983,1
15.908651,1
16.51265,1
16.371317,1
16.128651,1
16.54465,-1
16.593983,1
16.565317,1
16.68265,1
16.879316,1
16.90465,1
17.483316,1
17.471316,1
17.374649,1
17.613316,1
17.395983,1
17.403983,1
17.541316,1
17.127316,1
16.561983,1
16.443317,-1
16.559983,-1
15.991984,-1
16.50465,-1
16.409984,-1
16.097317,-1
15.463985,-1
15.114652,-1
14.712652,-1
14.371986,-1
14.616652,-1
14.458652,-1
14.753985,-1
15.133985,-1
15.206651,1
14.201986,1
14.005986,-1
14.114653,-1
13.939319,-1
14.350652,-1
14.023319,-1
14.197319,-1
14.108653,-1
13.79532,-1
14.252652,-1
13.889986,-1
15.441985,1
15.451318,1
15.490651,1
15.021985,1
14.433319,-1
14.605319,-1
14.195986,-1
13.812653,-1
14.287319,-1
14.266652,-1
14.737985,-1
14.786652,1
14.667319,1
14.516652,1
14.549985,1
15.309318,1
15.440651,1
15.350651,1
15.812651,1
15.465985,1
15.513984,1
15.358651,1
15.408651,1
15.114652,-1
14.967985,-1
15.137985,-1
14.467986,-1
14.571985,-1
14.739319,-1
15.633984,-1
15.559318,1
15.363985,1
15.503984,1
15.329985,1
15.313318,-1
15.371318,-1
15.263318,-1
15.812651,-1
15.872651,1
16.000651,1
14.893985,1
14.895318,-1
14.602652,-1
14.376652,-1
14.066653,-1
13.856653,-1
13.997986,-1
13.353987,-1
13.74532,-1
13.665986,-1
13.647986,-1
13.246653,-1
13.33132,-1
13.50332,-1
13.091987,-1
12.903987,-1
12.537987,-1
12.646654,-1
12.746654,-1
13.12932,-1
12.185321,1
11.565322,-1
11.688655,-1
10.839989,-1
9.86599,-1
9.883323,-1
9.57799,-1
10.031323,-1
10.069323,-1
10.344656,-1
11.245322,-1
11.117989,1
11.105322,1
11.849321,1
11.813988,1
11.933321,1
12.495321,1
12.689321,1
12.795321,1
12.423321,1
12.555987,1
13.04932,1
13.402653,1
13.685986,1
13.506653,1
13.914653,1
13.678653,1
13.833319,1
14.343319,1
14.555985,1
14.795319,1
15.091985,1
15.515984,1
15.887984,1
15.615984,1
14.838652,1
15.183318,-1
15.350651,-1
15.341985,-1
15.125985,-1
15.317985,-1
15.839317,-1
16.465984,1
17.031316,1
17.694649,1
17.14665,1
16.671317,1
16.661317,1
16.521317,-1
16.96865,-1
16.79065,-1
16.967316,-1
16.925316,-1
16.491317,-1
16.66465,-1
16.55265,-1
16.91665,-1
16.787983,-1
16.915983,-1
16.76465,-1
16.513983,1
16.050651,-1
16.119984,-1
15.487985,-1
14.837318,-1
14.101986,-1
14.328652,-1
13.927986,-1
13.912653,-1
13.930653,-1
13.818653,-1
13.840653,-1
13.885986,-1
13.643986,-1
14.077986,-1
14.347319,-1
14.685319,1
14.414652,1
14.527319,1
14.638652,1
15.007985,1
14.869318,1
14.881985,1
14.637319,1
14.597319,-1
14.599319,-1
14.711985,-1
15.489318,-1
15.701318,1
15.290651,1
14.585985,1
14.524652,-1
14.330652,-1
14.513319,-1
14.528652,-1
14.364652,-1
14.646652,-1
14.640652,-1
13.110654,-1
13.09332,-1
12.876654,-1
13.236653,-1
13.452653,-1
14.012653,1
14.151986,1
14.433319,1
14.265319,1
14.295986,1
14.395986,1
14.451986,1
14.985318,1
14.976652,1
14.835318,1
14.768652,1
14.693319,1
15.083318,-1
15.017318,1
15.223985,1
14.699985,1
14.817985,-1
15.333985,-1
15.300651,1
15.232651,1
15.373985,1
15.652651,1
15.333985,1
15.146652,1
15.052652,-1
15.373985,-1
15.335318,-1
15.077318,-1
15.271985,-1
15.043318,-1
14.993985,-1
15.040652,-1
15.039318,-1
14.907318,-1
14.882652,-1
14.900652,-1
14.999985,-1
14.861985,-1
14.989318,-1
14.841318,-1
14.730652,-1
14.665985,-1
14.346652,-1
14.089319,-1
14.133986,-1
13.384653,-1
13.18532,-1
13.521986,-1
13.44732,-1
13.15732,-1
12.964654,-1
13.219987,-1
13.069987,-1
13.093987,-1
13.36132,-1
13.69332,1
13.755986,1
13.642653,1
13.68132,1
13.761986,1
13.829986,1
13.932653,1
13.720653,1
13.75132,1
13.379987,1
13.601986,1
14.246652,-1
14.093986,1
13.897319,1
13.399987,1
13.10732,-1
13.396653,-1
13.339987,-1
13.433987,-1
13.34932,-1
13.100654,-1
12.930654,-1
13.27332,-1
13.570653,-1
13.27332,-1
13.33932,-1
13.51732,-1
13.48932,-1
13.482653,-1
13.600653,1
13.33132,1
13.181987,-1
12.719321,-1
12.534654,-1
12.494654,-1
12.703987,-1
12.880654,-1
12.995987,1
12.670654,1
12.356654,1
12.570654,1
12.096655,-1
12.251321,-1
12.261988,-1
12.577321,-1
12.334654,-1
12.301321,-1
12.744654,1
12.875987,1
13.109987,1
13.074654,1
12.637987,1
12.626654,-1
12.125321,-1
12.097988,-1
12.453321,-1
12.389988,-1
12.876654,-1
12.819321,1
12.811987,1
12.828654,1
13.209987,1
13.245987,1
13.171987,1
13.49932,1
13.51532,1
13.919319,1
13.846653,1
13.896653,1
14.222652,1
14.635319,1
14.649319,1
14.311986,1
14.245986,1
14.465986,1
15.132652,-1
15.116652,1
15.267318,1
15.418651,1
15.324651,1
15.315318,1
15.305985,1
15.849984,1
15.705318,1
15.890651,1
16.25065,1
16.315317,1
16.59465,1
16.973983,1
16.96465,1
16.833983,1
16.863316,1
16.70865,1
16.795317,1
16.615983,1
16.769983,1
16.755317,1
17.184649,1
17.165316,1
17.471983,1
17.946649,1
17.948649,1
18.706648,1
18.731981,1
18.650648,1
17.929982,1
18.148649,-1
18.492648,-1
18.233982,-1
17.065983,-1
17.133316,-1
16.415317,-1
16.665983,-1
16.667983,-1
16.69865,-1
16.771317,-1
16.747317,-1
16.57265,-1
16.457984,-1
16.32665,-1
16.245984,-1
16.411317,-1
17.199983,-1
17.04865,1
17.469983,1
17.433316,1
17.461316,1
16.711983,1
17.00065,-1
16.985316,-1
17.543982,-1
18.014649,1
18.496648,1
18.491982,1
18.527981,1
18.553315,1
19.901313,1
20.246646,1
19.666647,1
19.913313,1
20.169313,1
